name,knownFor,intro,longBio,achievement,birthYear,deathYear,birthCity,birthCountry,nationality,century,contributionYear,era,classification,gender,education,awards,institutions,notableWorks,influencedBy,influenced,funFacts,latitude,longitude,imageLocal
Ivan Sutherland,"Ivan Edward Sutherland is an American computer scientist and Internet pioneer, widely regarded as a","Ivan Sutherland (born 1938) is an American computer scientist and pioneer in the field of computer graphics. He is known for his groundbreaking work on Sketchpad, the first graphical user interface, and for his development of the ""Sutherland-Hodgman"" algorithm for polygon clipping. Sutherland's contributions have had a profound impact on computer graphics and human-computer interaction.","Ivan Edward Sutherland is an American computer scientist and Internet pioneer, widely regarded as a pioneer of computer graphics. His early work in computer graphics as well as his teaching with David C. Evans in that subject at the University of Utah in the 1970s was pioneering in the field. Sutherland, Evans, and their students from that era developed several foundations of modern computer graphics. He received the 1988 ACM Turing Award for the invention of the Sketchpad, an early predecessor to the sort of graphical user interface that has become ubiquitous in personal computers, and his contributions to computer graphics. He is a member of the National Academy of Engineering, as well as the National Academy of Sciences among many other major awards. In 2012, he was awarded the Kyoto Prize in Advanced Technology for ""pioneering achievements in the development of computer graphics and interactive interfaces"".","Known for his groundbreaking work in computer graphics and interactive technologies. Sutherland is credited with inventing Sketchpad, an early computer-aided design (CAD) system that allowed users to interact with graphical objects using a light pen. His work laid the foundation for many subsequent developments in computer graphics, including the development of 3D modeling and rendering techniques. Sutherland also made significant contributions to virtual reality, human-computer interaction, and computer-aided surgery. He received the Turing Award in 1988 for his pioneering contributions to computer graphics. Sutherland's work has had a lasting impact on the field of computer science and has influenced generations of researchers and practitioners.",1938,,Hastings,U.S.A,United States,20,1963,Cold War Computing,"[""human-computer interaction"", ""computer graphics""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""California Institute of Technology"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Massachusetts Institute of Technology"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Scarsdale High School"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Carnegie Mellon University"", ""year"": null}]","[{""name"": ""Washington Award"", ""year"": 2018}, {""name"": ""IEEE Emanuel R. Piore Award"", ""year"": 1986}, {""name"": ""Turing Award"", ""year"": 1988}, {""name"": ""Kyoto Prize in Advanced Technology"", ""year"": 2012}, {""name"": ""EFF Award"", ""year"": 1994}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2016}, {""name"": ""Computer Pioneer Award"", ""year"": 1985}, {""name"": ""IEEE John von Neumann Medal"", ""year"": 1998}, {""name"": ""Computer History Museum Fellow"", ""year"": null}, {""name"": ""ACM Fellow"", ""year"": 1994}, {""name"": ""ACM Software System Award"", ""year"": 1993}]","[{""name"": ""Harvard University"", ""role"": null, ""years"": null}, {""name"": ""California Institute of Technology"", ""role"": null, ""years"": null}, {""name"": ""Sun Microsystems"", ""role"": null, ""years"": null}, {""name"": ""University of Utah"", ""role"": null, ""years"": null}]",[],[],"[""Douglas Engelbart""]","[""Ivan Edward Sutherland (born May 16, 1938) is an American computer scientist and Internet pioneer, widely regarded as a pioneer of computer graphics.""]",40.5863,-98.39,https://pioneersincs.blob.core.windows.net/pioneers-images/ivan_sutherland.webp
Donald Knuth,Donald Ervin Knuth is an American computer scientist and mathematician,"Donald Knuth (born 1938) is an American computer scientist and mathematician. He is known for his pioneering work in algorithms and the art of computer programming. Knuth is the author of the multi-volume book series ""The Art of Computer Programming,"" which is considered a fundamental resource in the field of computer science.","Donald Ervin Knuth is an American computer scientist and mathematician. He is a professor emeritus at Stanford University. He is the 1974 recipient of the ACM Turing Award, informally considered the Nobel Prize of computer science. Knuth has been called the ""father of the analysis of algorithms"".","Wrote The Art of Computer Programming and created TeX. Coined the term ""analysis of algorithms"" and made major contributions to that field, including popularizing Big O notation.",1938,,Milwaukee,U.S.A,United States,20,1968,Cold War Computing,"[""programming languages"", ""algorithms""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Milwaukee Lutheran High School"", ""year"": 1956}, {""degree"": ""Bachelor of Science"", ""field"": null, ""institution"": ""Case Western Reserve University"", ""year"": 1960}, {""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""California Institute of Technology"", ""year"": 1963}, {""degree"": ""Master of Science"", ""field"": null, ""institution"": ""Case Western Reserve University"", ""year"": 1960}]","[{""name"": ""Computer History Museum Fellow"", ""year"": 1998}, {""name"": ""ACM Software System Award"", ""year"": 1986}, {""name"": ""honorary doctor of the University of Antwerp"", ""year"": 2003}, {""name"": ""Grace Murray Hopper Award"", ""year"": 1971}, {""name"": ""Turing Award"", ""year"": 1974}, {""name"": ""Guggenheim Fellowship"", ""year"": 1972}, {""name"": ""Turing Talk"", ""year"": 2011}, {""name"": ""ACM Fellow"", ""year"": 1994}, {""name"": ""IEEE John von Neumann Medal"", ""year"": 1995}, {""name"": ""W. Wallace McDowell Award"", ""year"": 1980}, {""name"": ""Fellow of the British Computer Society"", ""year"": 1980}, {""name"": ""National Medal of Science"", ""year"": 1979}, {""name"": ""honorary doctor of the University of Tübingen"", ""year"": 2001}, {""name"": ""Paul R. Halmos - Lester R. Ford Awards"", ""year"": 1975}, {""name"": ""Fellow of the Society for Industrial and Applied Mathematics"", ""year"": 2009}, {""name"": ""Faraday Medal"", ""year"": 2011}, {""name"": ""Kyoto Prize in Advanced Technology"", ""year"": 1996}, {""name"": ""honorary doctorate of the University of Glasgow"", ""year"": 2011}, {""name"": ""Leroy P. Steele Prize"", ""year"": 1986}, {""name"": ""honorary doctor of the University of Paris-Est-Marne-la-Vallée"", ""year"": 1992}, {""name"": ""Franklin Medal"", ""year"": 1988}, {""name"": ""Foreign Member of the Royal Society"", ""year"": 2003}, {""name"": ""BBVA Foundation Frontiers of Knowledge Award"", ""year"": 2010}, {""name"": ""John von Neumann Prize"", ""year"": 2016}, {""name"": ""honorary doctorate of the Masaryk University"", ""year"": 1996}, {""name"": ""honorary doctor of ETH Zürich"", ""year"": 2005}, {""name"": ""Fellow of the American Mathematical Society"", ""year"": 2013}, {""name"": ""honorary doctor of Harvard University"", ""year"": 2003}, {""name"": ""Harvey Prize"", ""year"": 1995}, {""name"": ""Josiah Willard Gibbs Lectureship"", ""year"": 1978}, {""name"": ""honorary doctorate from University of Bordeaux-I"", ""year"": 1997}, {""name"": ""honorary doctorate from University of Paris-XI"", ""year"": 1986}]","[{""name"": ""Stanford University"", ""role"": null, ""years"": null}, {""name"": ""Institute for Defense Analyses"", ""role"": null, ""years"": ""1968–1969""}]","[{""title"": ""The Art of Computer Programming"", ""type"": ""other"", ""year"": 1968}, {""title"": ""WEB"", ""type"": ""other"", ""year"": null}, {""title"": ""Computer Modern"", ""type"": ""other"", ""year"": null}, {""title"": ""CWEB"", ""type"": ""other"", ""year"": null}, {""title"": ""literate programming"", ""type"": ""other"", ""year"": null}, {""title"": ""TeX"", ""type"": ""other"", ""year"": 1978}]",[],[],"[""Knuth has been called the \""father of the analysis of algorithms\""."", ""Knuth is the author of the multi-volume work The Art of Computer Programming."", ""He contributed to the development of the rigorous analysis of the computational complexity of algorithms and systematized formal mathematical techniques for it.""]",43.0383,-87.9063,https://pioneersincs.blob.core.windows.net/pioneers-images/donald_knuth.webp
Federico Faggin,"Federico Faggin is an Italian-American physicist, engineer, inventor and entrepreneur","Federico Faggin (born 1941) is an Italian-American engineer and inventor. He is known for his role in the development of the first commercial microprocessor, the Intel 4004, and for his work on the MOS Technology 6502 microprocessor. Faggin's contributions have played a pivotal role in the advancement of computer technology.","Federico Faggin is an Italian-American physicist, engineer, inventor and entrepreneur. He is best known for designing the first commercial microprocessor, the Intel 4004. He led the 4004 (MCS-4) project and the design group during the first five years of Intel's microprocessor effort. Faggin also created, while working at Fairchild Semiconductor in 1968, the self-aligned MOS (metal–oxide–semiconductor) silicon-gate technology (SGT), which made possible MOS semiconductor memory chips, CCD image sensors, and the microprocessor. After the 4004, he led development of the Intel 8008 and 8080, using his SGT methodology for random logic chip design, which was essential to the creation of early Intel microprocessors. He was co-founder and CEO of Zilog, the first company solely dedicated to microprocessors, and led the development of the Zilog Z80 and Z8 processors. He was later the co-founder and CEO of Cygnet Technologies, and then Synaptics.","Known for designing the world's first commercially available microprocessor, the Intel 4004. He co-founded Zilog and developed the popular Z80 microprocessor. Faggin's contributions revolutionized the field of computing and semiconductor technology, shaping the modern digital age.",1941,,Vicenza,Italy,Italy,20,1971,Personal Computing Revolution,"[""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""University of Padua"", ""year"": null}]","[{""name"": ""National Medal of Technology and Innovation"", ""year"": 2009}, {""name"": ""Fellow of the American Association for the Advancement of Science"", ""year"": 2018}, {""name"": ""Enrico Fermi Prize"", ""year"": 2014}, {""name"": ""Computer History Museum Fellow"", ""year"": 2009}, {""name"": ""National Inventors Hall of Fame"", ""year"": 1996}, {""name"": ""Grand Officer of the Order of Merit of the Italian Republic"", ""year"": 1988}, {""name"": ""Knight Grand Cross of the Order of Merit of the Italian Republic"", ""year"": 2019}, {""name"": ""W. Wallace McDowell Award"", ""year"": 1994}, {""name"": ""Kyoto Prize in Advanced Technology"", ""year"": 1997}, {""name"": ""Marconi Prize"", ""year"": 1988}]","[{""name"": ""Zilog"", ""role"": null, ""years"": null}, {""name"": ""Synaptics"", ""role"": null, ""years"": null}, {""name"": ""Intel"", ""role"": null, ""years"": null}, {""name"": ""Foveon"", ""role"": null, ""years"": null}, {""name"": ""Fairchild Semiconductor"", ""role"": null, ""years"": null}]",[],[],[],"[""He is best known for designing the first commercial microprocessor, the Intel 4004."", ""He led the 4004 (MCS-4) project and the design group during the first five years of Intel's microprocessor effort."", ""He was co-founder (with Ralph Ungermann) and CEO of Zilog, the first company solely dedicated to microprocessors, and led the development of the Zilog Z80 and Z8 processors.""]",45.5453,1.5353,https://pioneersincs.blob.core.windows.net/pioneers-images/federico_faggin.webp
Pier Giorgio Perotto,Pier Giorgio Perotto was an Italian electrical engineer and inventor,"Pier Giorgio Perotto (1930-2020) was an Italian engineer and computer scientist. He is credited with inventing the Programma 101, the first commercially available personal computer. Perotto's work on the Programma 101 revolutionized the computing industry, making computers accessible to a wider audience and paving the way for the future of personal computing.","Pier Giorgio Perotto was an Italian electrical engineer and inventor. Working for the manufacturer Olivetti, he led a design team that built the Programma 101, one of the world's first programmable calculators.","Computer designer for Olivetti, designed one of the first electronic programmable calculators, the Programma 101",1930,2002,Turin,Italy,Italy,20,1964,Cold War Computing,"[""personal computing""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Polytechnic University of Turin"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""University of Turin"", ""year"": null}]",[],"[{""name"": ""Polytechnic University of Turin"", ""role"": null, ""years"": null}]",[],[],[],"[""Working for the manufacturer Olivetti, he led a design team that built the Programma 101, one of the world's first programmable calculators.""]",45.0703,7.687,https://pioneersincs.blob.core.windows.net/pioneers-images/pier_giorgio_perotto.webp
Margaret Hamilton,"Margaret Hamilton may refer to:Margaret Hamilton (nurse) (1840–1922), American nurse in the Civil War Maggie",Margaret Hamilton (born 1936) is an American computer scientist and systems engineer. She led the software engineering division of the Apollo space program and developed the on-board flight software for the Apollo spacecraft. Hamilton's work was crucial for the success of the Moon landing missions and has had a lasting impact on software engineering and systems development.,"Margaret Hamilton may refer to:Margaret Hamilton (nurse) (1840–1922), American nurse in the Civil War
Maggie Hamilton (1867–1952), Scottish artist
Margaret Hamilton (educator) (1871–1969), American educator
Margaret Hamilton (actress) (1902–1985), American film character actress
Margaret Hamilton, American software engineer
Margaret Hamilton (publisher) (1941–2022), Australian publisher of children's literature","Developed the concepts of asynchronous software, priority scheduling, end-to-end testing, and human-in-the-loop decision capability, such as priority displays which then became the foundation for ultra-reliable software design",1936,,Paoli,U.S.A,United States,20,1971,Personal Computing Revolution,"[""software engineering""]",female,"[{""degree"": null, ""field"": null, ""institution"": ""University of Michigan College of Literature, Science, and the Arts"", ""year"": null}, {""degree"": ""Bachelor of Arts"", ""field"": null, ""institution"": ""Earlham College"", ""year"": 1958}]","[{""name"": ""Computer History Museum Fellow"", ""year"": 2017}, {""name"": ""Washington Award"", ""year"": 2019}, {""name"": ""Ada Lovelace Award"", ""year"": 1986}, {""name"": ""honorary doctor of the University Polytechnic of Catalonia"", ""year"": 2018}, {""name"": ""National Aviation Hall of Fame"", ""year"": 2022}, {""name"": ""Presidential Medal of Freedom"", ""year"": 2016}]","[{""name"": ""National Aeronautics and Space Administration"", ""role"": null, ""years"": null}, {""name"": ""Charles Stark Draper Laboratory"", ""role"": null, ""years"": null}, {""name"": ""MIT Computer Science and Artificial Intelligence Laboratory"", ""role"": null, ""years"": null}, {""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": null}]",[],[],[],[],38.5563,-86.4684,https://pioneersincs.blob.core.windows.net/pioneers-images/margaret_hamilton.webp
Joseph Weizenbaum,Joseph Weizenbaum was a German-American computer scientist and a professor at the Massachusetts Institute of,"Joseph Weizenbaum (1923-2008) was a German-American computer scientist and a pioneer in the field of artificial intelligence. He is best known for creating the ELIZA computer program, which simulated conversation and highlighted the social and ethical implications of AI. Weizenbaum's work explored the relationship between humans and intelligent machines.",Joseph Weizenbaum was a German-American computer scientist and a professor at the Massachusetts Institute of Technology. He is the namesake of the Weizenbaum Award and the Weizenbaum Institute.,"Known for creating the ELIZA program, a pioneering natural language processing software. His work raised ethical questions about human-computer interaction and emphasized the importance of human values in technology. Weizenbaum's contributions influenced the field of artificial intelligence and computer-human interaction.",1923,2008,Berlin,Germany,United States,20,1964,Cold War Computing,"[""artificial intelligence""]",male,"[{""degree"": ""Master of Science"", ""field"": null, ""institution"": ""Wayne State University"", ""year"": 1950}, {""degree"": ""Bachelor of Science"", ""field"": null, ""institution"": ""Wayne State University"", ""year"": 1948}]","[{""name"": ""Norbert Wiener Award for Social and Professional Responsibility"", ""year"": 1988}, {""name"": ""The VIZE 97 Prize"", ""year"": 2002}, {""name"": ""Commander's Cross of the Order of Merit of the Federal Republic of Germany"", ""year"": 2001}]","[{""name"": ""General Electric"", ""role"": null, ""years"": ""1955–1963""}, {""name"": ""University of Hamburg"", ""role"": null, ""years"": null}, {""name"": ""Wayne State University"", ""role"": null, ""years"": null}, {""name"": ""Harvard University"", ""role"": null, ""years"": null}, {""name"": ""Stanford University"", ""role"": null, ""years"": null}, {""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": ""1963–""}, {""name"": ""Technische Universität Berlin"", ""role"": null, ""years"": null}]","[{""title"": ""Computer Power and Human Reason: From Judgment to Calculation"", ""type"": ""other"", ""year"": 1976}, {""title"": ""SLIP"", ""type"": ""other"", ""year"": null}, {""title"": ""ELIZA"", ""type"": ""other"", ""year"": null}]",[],[],[],52.522,13.4053,https://pioneersincs.blob.core.windows.net/pioneers-images/joseph_weizenbaum.webp
Richard Stallman,"Richard Matthew Stallman, also known by his initials rms, is an American free software movement","Richard Stallman (born 1953) is an American software developer and free software advocate. He founded the Free Software Foundation and initiated the GNU Project, aiming to create a free and open-source operating system. Stallman has been instrumental in promoting the principles of software freedom, open collaboration, and user autonomy in the digital world.","Richard Matthew Stallman, also known by his initials rms, is an American free software movement activist and programmer. He campaigns for software to be distributed in such a manner that its users have the freedom to use, study, distribute, and modify that software. Software which ensures these freedoms is termed free software. Stallman launched the GNU Project, founded the Free Software Foundation (FSF) in October 1985, developed the GNU C Compiler and GNU Emacs, and wrote all versions of the GNU General Public License.","Stallman launched the GNU Project in September 1983 to create a Unix-like computer operating system composed entirely of free software. With this, he also launched the free software movement.",1953,,Manhattan,U.S.A,United States,20,1972,Personal Computing Revolution,"[""software""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Harvard School of Engineering and Applied Sciences"", ""year"": null}, {""degree"": ""Bachelor of Arts"", ""field"": null, ""institution"": ""Harvard University"", ""year"": null}, {""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""Massachusetts Institute of Technology"", ""year"": null}]","[{""name"": ""ACM Software System Award"", ""year"": 2015}, {""name"": ""Takeda Awards"", ""year"": 2001}, {""name"": ""Yuri Rubinsky Memorial Award"", ""year"": 1999}, {""name"": ""doctor honoris causa from the Pierre and Marie Curie University"", ""year"": 2016}, {""name"": ""Grace Murray Hopper Award"", ""year"": 1990}, {""name"": ""honorary doctor of the National University of Córdoba"", ""year"": null}, {""name"": ""honorary doctorate of the University of Glasgow"", ""year"": 2001}, {""name"": ""honorary doctorate of the Vrije Universiteit Brussel"", ""year"": 2003}, {""name"": ""MacArthur Fellows Program"", ""year"": 1990}, {""name"": ""Internet Hall of Fame"", ""year"": 2013}, {""name"": ""EFF Award"", ""year"": 1998}]","[{""name"": ""Massachusetts Institute of Technology"", ""role"": null, ""years"": null}, {""name"": ""Q48413"", ""role"": null, ""years"": null}]","[{""title"": ""GNU Compiler Collection"", ""type"": ""other"", ""year"": 1987}, {""title"": ""The Right to Read"", ""type"": ""other"", ""year"": 1997}, {""title"": ""GNU Manifesto"", ""type"": ""other"", ""year"": 1985}, {""title"": ""Made for You"", ""type"": ""other"", ""year"": 2012}, {""title"": ""Jinnetic Engineering"", ""type"": ""other"", ""year"": 2001}, {""title"": ""GNU"", ""type"": ""other"", ""year"": null}, {""title"": ""Free Software Song"", ""type"": ""other"", ""year"": 1993}, {""title"": ""GNU Debugger"", ""type"": ""other"", ""year"": null}, {""title"": ""GNU Emacs"", ""type"": ""other"", ""year"": null}, {""title"": ""GNU General Public License"", ""type"": ""other"", ""year"": 1989}]",[],"[""Emilio J. Rodríguez Posada"", ""Péter Gervai""]","[""In September 2019, Stallman resigned as president of the FSF and left his visiting scientist role at MIT after making controversial comments about the Jeffrey Epstein sex trafficking scandal.""]",40.7123,-74.006,https://pioneersincs.blob.core.windows.net/pioneers-images/richard_stallman.webp
John W. Tukey,"John Wilder Tukey was an American mathematician and statistician, best known for the development of","John W. Tukey (1915-2000) was an American mathematician and statistician. He made significant contributions to the fields of exploratory data analysis, fast Fourier transform (FFT), and statistical computing. Tukey's work revolutionized data analysis methods and statistical thinking, and he coined the term ""bit"" in computing. He received numerous honors for his contributions.","John Wilder Tukey was an American mathematician and statistician, best known for the development of the fast Fourier Transform (FFT) algorithm, the box plot and for laying the foundations of the field of exploratory data analysis. The Tukey range test, the Tukey lambda distribution, the Tukey test of additivity, and the Teichmüller–Tukey lemma all bear his name. He is also credited with coining the term bit and the first published use of the word software.","Known for his significant contributions to exploratory data analysis and statistical computing. Tukey developed innovative statistical techniques, such as the box plot and the fast Fourier transform algorithm, which have become widely used in data analysis and signal processing. His work emphasized the importance of visualizing and understanding data through graphical methods.",1915,2000,New Bedford,U.S.A,United States,20,1965,Cold War Computing,"[""computational mathematics""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Princeton University"", ""year"": 1939}, {""degree"": null, ""field"": null, ""institution"": ""Brown University"", ""year"": 1937}]","[{""name"": ""Guggenheim Fellowship"", ""year"": 1949}, {""name"": ""Wilks Memorial Award"", ""year"": 1965}, {""name"": ""Shewhart Medal"", ""year"": 1976}, {""name"": ""Fellow of the Institute of Mathematical Statistics"", ""year"": 1946}, {""name"": ""IEEE Medal of Honor"", ""year"": 1982}, {""name"": ""James Madison Medal"", ""year"": 1984}, {""name"": ""Foreign Member of the Royal Society"", ""year"": 1991}, {""name"": ""National Medal of Science"", ""year"": 1973}]","[{""name"": ""Princeton University"", ""role"": null, ""years"": ""1939–1985""}, {""name"": ""Bell Labs"", ""role"": null, ""years"": ""1945–1985""}]","[{""title"": ""Tukey depth"", ""type"": ""other"", ""year"": null}, {""title"": ""Blackman–Tukey transformation"", ""type"": ""other"", ""year"": null}, {""title"": ""Tukey–Duckworth test"", ""type"": ""other"", ""year"": null}, {""title"": ""Teichmüller–Tukey lemma"", ""type"": ""other"", ""year"": null}, {""title"": ""Tukey lambda distribution"", ""type"": ""other"", ""year"": null}, {""title"": ""Siegel–Tukey test"", ""type"": ""other"", ""year"": null}, {""title"": ""Cooley–Tukey FFT algorithm"", ""type"": ""other"", ""year"": null}, {""title"": ""Tukey's test of additivity"", ""type"": ""other"", ""year"": null}]",[],[],[],41.6363,-70.9343,https://pioneersincs.blob.core.windows.net/pioneers-images/john_w_tukey.webp
André Truong Trong Thi,André Trương Trọng Thi (1936–2005) was a Vietnamese-French computer engineer,"André Trương Trọng Thi (1936–2005) was a Vietnamese-French computer engineer credited as the ""father of the personal computer."" He co-created the Micral N microcomputer in 1973, utilizing an Intel 8008 processor. The Micral N is recognized as one of the first commercial microcomputers and played a pivotal role in the development of personal computing technology.","André Trương Trọng Thi (1936–2005) was a Vietnamese-French computer engineer. He is considered to be the ""father of the personal computer"" for his 1973 creation along with French inventor François Gernelle of the Micral N microcomputer based on an Intel 8008 processor, one of the world's first commercial microcomputers.","He is considered to be the ""father of the personal computer"" for his 1973 creation along with French inventor François Gernelle of the Micral N microcomputer based on an Intel 8008 processor, one of the world's first commercial microcomputers.",1936,2005,Cholon,Vietnam,France,20,1972,Personal Computing Revolution,"[""personal computing"", ""hardware""]",male,"[{""degree"": null, ""field"": null, ""institution"": ""Lycée Michelet, Vanves"", ""year"": null}]","[{""name"": ""Knight of the Legion of Honour"", ""year"": 2000}]",[],[],[],[],"[""He is considered to be the \""father of the personal computer\"" for his 1973 creation along with French inventor François Gernelle of the Micral N microcomputer based on an Intel 8008 processor, one of the world's first commercial microcomputers.""]",10.7543,106.6583,https://pioneersincs.blob.core.windows.net/pioneers-images/andré_truong_trong_thi.webp
Ken Thompson,Kenneth Lane Thompson is an American pioneer of computer science,"Ken Thompson (born 1943) is an American computer scientist and co-creator of the Unix operating system and the C programming language. He played a key role in the development of the original Unix system, including the creation of important tools and utilities. Thompson's work has had a lasting impact on the field of operating systems and software development.","Kenneth Lane Thompson is an American pioneer of computer science. Thompson worked at Bell Labs for most of his career where he designed and implemented the original Unix operating system. He also invented the B programming language, the direct predecessor to the C language, and was one of the creators and early developers of the Plan 9 operating system. Other notable contributions included his work on regular expressions and early computer text editors QED and ed, the definition of the UTF-8 encoding, and his work on computer chess that included the creation of endgame tablebases and the chess machine Belle.","Created the Unix operating system, the B programming language, Plan 9 operating system, the first machine to achieve a Master rating in chess, and the UTF-8 encoding at Bell Labs and the Go programming language at Google.",1943,,New Orleans,U.S.A,United States,20,1967,Cold War Computing,"[""operating systems"", ""programming languages""]",male,"[{""degree"": ""Master of Science"", ""field"": null, ""institution"": ""University of California, Berkeley"", ""year"": 1966}, {""degree"": ""Bachelor of Science"", ""field"": null, ""institution"": ""University of California, Berkeley"", ""year"": 1965}]","[{""name"": ""ACM Fellow"", ""year"": 2020}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2019}, {""name"": ""ACM Software System Award"", ""year"": 1983}, {""name"": ""Japan Prize"", ""year"": 2011}, {""name"": ""Turing Award"", ""year"": 1983}, {""name"": ""National Medal of Technology and Innovation"", ""year"": 1998}, {""name"": ""IEEE Emanuel R. Piore Award"", ""year"": 1982}, {""name"": ""Harold Pender Award"", ""year"": 2003}, {""name"": ""Computer Pioneer Award"", ""year"": 1994}, {""name"": ""Computer History Museum Fellow"", ""year"": 1997}, {""name"": ""Tsutomu Kanai Award"", ""year"": 1999}, {""name"": ""IEEE Richard W. Hamming Medal"", ""year"": 1990}]","[{""name"": ""Bell Labs"", ""role"": null, ""years"": ""1966–2000""}, {""name"": ""Google"", ""role"": null, ""years"": ""2006–""}]","[{""title"": ""Plan 9"", ""type"": ""other"", ""year"": 1992}, {""title"": ""Belle"", ""type"": ""other"", ""year"": null}, {""title"": ""Go"", ""type"": ""other"", ""year"": null}, {""title"": ""ed"", ""type"": ""other"", ""year"": null}, {""title"": ""dbm"", ""type"": ""other"", ""year"": null}]",[],[],"[""Kenneth Lane Thompson (born February 4, 1943) is an American pioneer of computer science."", ""He also invented the B programming language, the direct predecessor to the C language, and was one of the creators and early developers of the Plan 9 operating system."", ""In 1983, he won the Turing Award with his long-term colleague Dennis Ritchie.""]",29.9513,-90.0713,https://pioneersincs.blob.core.windows.net/pioneers-images/ken_thompson.webp
Dennis Ritchie,Dennis MacAlistair Ritchie was an American computer scientist,"Dennis Ritchie (1941-2011) was an American computer scientist and co-creator of the Unix operating system and the C programming language. His contributions to the development of Unix and C have had a profound impact on modern operating systems and software development, shaping the foundations of the digital world we live in today.","Dennis MacAlistair Ritchie was an American computer scientist. He created, together with long-time colleague Ken Thompson, the Unix operating system, C programming language, and B programming language.","Known for creating the C programming language and co-developing the Unix operating system. His work laid the foundation for modern software development and had a profound impact on the field of computer science, earning him the Turing Award in 1983.",1941,2011,Bronxville,U.S.A,United States,20,1967,Cold War Computing,"[""operating systems"", ""programming languages""]",male,"[{""degree"": ""Master of Science"", ""field"": null, ""institution"": ""Harvard University"", ""year"": null}, {""degree"": ""Doctor of Philosophy"", ""field"": null, ""institution"": ""Harvard University"", ""year"": null}, {""degree"": null, ""field"": null, ""institution"": ""Summit High School"", ""year"": null}]","[{""name"": ""IEEE Emanuel R. Piore Award"", ""year"": 1982}, {""name"": ""Turing Award"", ""year"": 1983}, {""name"": ""Japan Prize"", ""year"": 2011}, {""name"": ""IEEE Richard W. Hamming Medal"", ""year"": 1990}, {""name"": ""Computer History Museum Fellow"", ""year"": 1997}, {""name"": ""National Medal of Technology and Innovation"", ""year"": 1998}, {""name"": ""ACM Software System Award"", ""year"": 1983}, {""name"": ""National Inventors Hall of Fame"", ""year"": 2019}, {""name"": ""Harold Pender Award"", ""year"": 2003}, {""name"": ""Computer Pioneer Award"", ""year"": 1994}, {""name"": ""IRI Achievement Award"", ""year"": 2006}]","[{""name"": ""Bell Labs"", ""role"": null, ""years"": ""1967–2007""}]","[{""title"": ""Plan 9"", ""type"": ""other"", ""year"": 1992}, {""title"": ""ALTRAN"", ""type"": ""other"", ""year"": null}, {""title"": ""The C Programming Language"", ""type"": ""other"", ""year"": 1978}, {""title"": ""BCPL"", ""type"": ""other"", ""year"": null}, {""title"": ""B"", ""type"": ""other"", ""year"": null}]",[],"[""Roberto Ierusalimschy""]",[],40.9383,-73.8323,https://pioneersincs.blob.core.windows.net/pioneers-images/dennis_ritchie.webp
